 Surface perimeter
  rad  pla 
 1408 1006
 rho(m) perimeter(m) 
    0.649077         15.0703    
    0.650675         15.1083    
    0.651900         15.1374    
    0.652226         15.1452    
    0.652552         15.1529    
    0.653777         15.1821    
    0.655375         15.2201    
    0.656599         15.2493    
    0.656926         15.2570    
    0.657252         15.2648    
    0.658477         15.2940    
    0.660075         15.3320    
    0.661299         15.3612    
    0.661625         15.3690    
    0.661952         15.3767    
    0.663176         15.4059    
    0.664774         15.4440    
    0.665999         15.4732    
    0.666325         15.4809    
    0.666651         15.4887    
    0.667876         15.5179    
    0.669474         15.5560    
    0.670698         15.5852    
    0.671025         15.5930    
    0.671351         15.6007    
    0.672576         15.6300    
    0.674173         15.6681    
    0.675398         15.6973    
    0.675724         15.7051    
    0.676051         15.7129    
    0.677275         15.7421    
    0.678873         15.7802    
    0.680098         15.8094    
    0.680424         15.8172    
    0.680750         15.8250    
    0.681975         15.8542    
    0.683573         15.8924    
    0.684797         15.9216    
    0.685124         15.9294    
    0.685450         15.9372    
    0.686675         15.9665    
    0.688272         16.0047    
    0.689497         16.0339    
    0.689823         16.0417    
    0.690150         16.0495    
    0.691374         16.0788    
    0.692972         16.1170    
    0.694197         16.1463    
    0.694523         16.1541    
    0.694849         16.1619    
    0.696074         16.1912    
    0.697672         16.2294    
    0.698896         16.2587    
    0.699223         16.2665    
    0.699549         16.2743    
    0.700774         16.3036    
    0.702371         16.3418    
    0.703596         16.3711    
    0.703922         16.3789    
    0.704249         16.3868    
    0.705473         16.4161    
    0.707071         16.4543    
    0.708296         16.4837    
    0.708622         16.4915    
    0.708948         16.4993    
    0.710173         16.5286    
    0.711771         16.5669    
    0.712995         16.5963    
    0.713322         16.6041    
    0.713648         16.6119    
    0.714872         16.6413    
    0.716470         16.6796    
    0.717695         16.7089    
    0.718021         16.7167    
    0.718348         16.7246    
    0.719572         16.7539    
    0.721170         16.7923    
    0.722395         16.8216    
    0.722721         16.8295    
    0.723047         16.8373    
    0.724272         16.8667    
    0.725870         16.9050    
    0.727094         16.9344    
    0.727420         16.9423    
    0.727747         16.9501    
    0.728971         16.9795    
    0.730569         17.0179    
    0.731794         17.0473    
    0.732120         17.0551    
    0.732446         17.0630    
    0.733671         17.0924    
    0.735269         17.1308    
    0.736493         17.1602    
    0.736820         17.1680    
    0.737146         17.1759    
    0.738371         17.2053    
    0.739969         17.2437    
    0.741193         17.2732    
    0.741519         17.2810    
    0.741846         17.2889    
    0.743070         17.3183    
    0.744668         17.3568    
    0.745893         17.3863    
    0.746219         17.3941    
    0.746545         17.4020    
    0.747770         17.4314    
    0.749368         17.4699    
    0.750592         17.4994    
    0.750919         17.5072    
    0.751245         17.5151    
    0.752470         17.5446    
    0.754067         17.5831    
    0.755292         17.6126    
    0.755618         17.6204    
    0.755945         17.6283    
    0.757169         17.6578    
    0.758767         17.6963    
    0.759992         17.7258    
    0.760318         17.7337    
    0.760644         17.7416    
    0.761869         17.7711    
    0.763467         17.8096    
    0.764691         17.8392    
    0.765018         17.8470    
    0.765344         17.8549    
    0.766569         17.8844    
    0.768166         17.9230    
    0.769391         17.9526    
    0.769717         17.9604    
    0.770044         17.9683    
    0.771268         17.9979    
    0.772866         18.0364    
    0.774091         18.0660    
    0.774417         18.0739    
    0.774743         18.0818    
    0.775968         18.1114    
    0.777566         18.1500    
    0.778790         18.1796    
    0.779117         18.1874    
    0.779443         18.1953    
    0.780668         18.2249    
    0.782265         18.2636    
    0.783490         18.2932    
    0.783816         18.3011    
    0.784143         18.3090    
    0.785367         18.3386    
    0.786965         18.3772    
    0.788190         18.4069    
    0.788516         18.4147    
    0.788842         18.4226    
    0.790067         18.4523    
    0.791665         18.4910    
    0.792889         18.5206    
    0.793216         18.5285    
    0.793542         18.5364    
    0.794766         18.5661    
    0.796364         18.6048    
    0.797589         18.6344    
    0.797915         18.6423    
    0.798241         18.6502    
    0.799466         18.6799    
    0.801064         18.7186    
    0.802289         18.7483    
    0.802615         18.7562    
    0.802941         18.7642    
    0.804166         18.7938    
    0.805764         18.8326    
    0.806988         18.8623    
    0.807314         18.8702    
    0.807641         18.8781    
    0.808865         18.9078    
    0.810463         18.9466    
    0.811688         18.9763    
    0.812014         18.9843    
    0.812340         18.9922    
    0.813565         19.0219    
    0.815163         19.0607    
    0.816387         19.0905    
    0.816714         19.0984    
    0.817040         19.1063    
    0.818265         19.1361    
    0.819862         19.1749    
    0.821087         19.2047    
    0.821413         19.2126    
    0.821740         19.2205    
    0.822964         19.2503    
    0.824562         19.2891    
    0.825787         19.3189    
    0.826113         19.3269    
    0.826439         19.3348    
    0.827664         19.3646    
    0.829262         19.4035    
    0.830486         19.4333    
    0.830813         19.4412    
    0.831139         19.4492    
    0.832364         19.4790    
    0.833961         19.5179    
    0.835186         19.5477    
    0.835512         19.5556    
    0.835839         19.5636    
    0.837063         19.5934    
    0.838661         19.6323    
    0.839886         19.6622    
    0.840212         19.6701    
    0.840538         19.6781    
    0.841763         19.7079    
    0.843361         19.7469    
    0.844585         19.7768    
    0.844912         19.7847    
    0.845238         19.7927    
    0.846463         19.8225    
    0.848060         19.8615    
    0.849285         19.8914    
    0.849611         19.8994    
    0.849938         19.9073    
    0.851162         19.9372    
    0.852760         19.9762    
    0.853985         20.0061    
    0.854311         20.0141    
    0.854637         20.0221    
    0.855862         20.0520    
    0.857460         20.0910    
    0.858684         20.1209    
    0.859011         20.1289    
    0.859337         20.1369    
    0.860562         20.1668    
    0.862159         20.2059    
    0.863384         20.2358    
    0.863710         20.2438    
    0.864037         20.2518    
    0.865261         20.2817    
    0.866859         20.3208    
    0.868084         20.3508    
    0.868410         20.3588    
    0.868736         20.3668    
    0.869961         20.3967    
    0.871559         20.4359    
    0.872783         20.4658    
    0.873110         20.4738    
    0.873436         20.4818    
    0.874660         20.5118    
    0.876258         20.5510    
    0.877483         20.5810    
    0.877809         20.5890    
    0.878135         20.5970    
    0.879360         20.6270    
    0.880958         20.6661    
    0.882183         20.6962    
    0.882509         20.7042    
    0.882835         20.7122    
    0.884060         20.7422    
    0.885658         20.7814    
    0.886882         20.8115    
    0.887208         20.8195    
    0.887535         20.8275    
    0.888759         20.8575    
    0.890357         20.8967    
    0.891582         20.9268    
    0.891908         20.9348    
    0.892234         20.9428    
    0.893459         20.9729    
    0.895057         21.0122    
    0.896281         21.0423    
    0.896608         21.0503    
    0.896934         21.0583    
    0.898159         21.0884    
    0.899756         21.1277    
    0.900981         21.1578    
    0.901307         21.1658    
    0.901634         21.1738    
    0.902858         21.2040    
    0.904456         21.2433    
    0.905681         21.2734    
    0.906007         21.2814    
    0.906333         21.2895    
    0.907558         21.3196    
    0.909156         21.3589    
    0.910380         21.3891    
    0.910707         21.3971    
    0.911033         21.4052    
    0.912258         21.4353    
    0.913855         21.4747    
    0.915080         21.5049    
    0.915406         21.5129    
    0.915733         21.5210    
    0.916957         21.5512    
    0.918555         21.5905    
    0.919780         21.6207    
    0.920106         21.6288    
    0.920432         21.6368    
    0.921657         21.6670    
    0.923255         21.7065    
    0.924479         21.7367    
    0.924806         21.7447    
    0.925132         21.7528    
    0.926357         21.7830    
    0.927954         21.8225    
    0.929179         21.8527    
    0.929505         21.8608    
    0.929832         21.8688    
    0.931056         21.8991    
    0.932654         21.9386    
    0.933879         21.9688    
    0.934205         21.9769    
    0.934531         21.9850    
    0.935756         22.0153    
    0.937354         22.0548    
