 Safety factor
  rad  pla 
 1408 1006
 rho(m) q 
     2.04969         2.51894    
     2.05421         2.52528    
     2.05768         2.53016    
     2.05860         2.53146    
     2.05952         2.53277    
     2.06299         2.53768    
     2.06751         2.54412    
     2.07098         2.54908    
     2.07190         2.55040    
     2.07282         2.55173    
     2.07629         2.55672    
     2.08081         2.56326    
     2.08428         2.56830    
     2.08520         2.56965    
     2.08612         2.57099    
     2.08959         2.57607    
     2.09411         2.58271    
     2.09758         2.58784    
     2.09850         2.58920    
     2.09942         2.59057    
     2.10289         2.59573    
     2.10741         2.60248    
     2.11088         2.60769    
     2.11180         2.60908    
     2.11272         2.61047    
     2.11619         2.61571    
     2.12071         2.62258    
     2.12418         2.62787    
     2.12510         2.62928    
     2.12602         2.63070    
     2.12949         2.63602    
     2.13401         2.64300    
     2.13748         2.64838    
     2.13840         2.64981    
     2.13932         2.65125    
     2.14279         2.65666    
     2.14731         2.66376    
     2.15078         2.66923    
     2.15170         2.67069    
     2.15262         2.67215    
     2.15609         2.67765    
     2.16061         2.68486    
     2.16408         2.69042    
     2.16500         2.69190    
     2.16592         2.69339    
     2.16939         2.69898    
     2.17391         2.70631    
     2.17738         2.71196    
     2.17830         2.71347    
     2.17922         2.71498    
     2.18269         2.72067    
     2.18721         2.72812    
     2.19068         2.73387    
     2.19160         2.73540    
     2.19252         2.73694    
     2.19599         2.74272    
     2.20051         2.75030    
     2.20398         2.75614    
     2.20490         2.75770    
     2.20582         2.75926    
     2.20929         2.76514    
     2.21381         2.77284    
     2.21728         2.77878    
     2.21820         2.78037    
     2.21912         2.78196    
     2.22259         2.78793    
     2.22711         2.79577    
     2.23058         2.80181    
     2.23150         2.80342    
     2.23242         2.80504    
     2.23589         2.81112    
     2.24041         2.81909    
     2.24388         2.82523    
     2.24480         2.82687    
     2.24572         2.82851    
     2.24919         2.83469    
     2.25371         2.84280    
     2.25718         2.84904    
     2.25810         2.85071    
     2.25902         2.85238    
     2.26249         2.85867    
     2.26701         2.86692    
     2.27048         2.87327    
     2.27140         2.87497    
     2.27232         2.87667    
     2.27579         2.88306    
     2.28031         2.89145    
     2.28378         2.89791    
     2.28470         2.89964    
     2.28562         2.90137    
     2.28909         2.90787    
     2.29361         2.91640    
     2.29708         2.92298    
     2.29800         2.92474    
     2.29892         2.92649    
     2.30239         2.93311    
     2.30691         2.94179    
     2.31038         2.94848    
     2.31130         2.95027    
     2.31222         2.95206    
     2.31569         2.95880    
     2.32021         2.96763    
     2.32368         2.97443    
     2.32460         2.97625    
     2.32552         2.97807    
     2.32899         2.98493    
     2.33351         2.99392    
     2.33698         3.00084    
     2.33790         3.00269    
     2.33882         3.00454    
     2.34229         3.01152    
     2.34681         3.02067    
     2.35028         3.02772    
     2.35120         3.02960    
     2.35212         3.03148    
     2.35559         3.03858    
     2.36011         3.04789    
     2.36358         3.05507    
     2.36450         3.05698    
     2.36542         3.05890    
     2.36889         3.06613    
     2.37341         3.07561    
     2.37688         3.08291    
     2.37780         3.08486    
     2.37872         3.08682    
     2.38219         3.09417    
     2.38671         3.10382    
     2.39018         3.11125    
     2.39110         3.11324    
     2.39202         3.11523    
     2.39549         3.12272    
     2.40001         3.13254    
     2.40348         3.14011    
     2.40440         3.14213    
     2.40532         3.14416    
     2.40879         3.15178    
     2.41331         3.16178    
     2.41678         3.16949    
     2.41770         3.17155    
     2.41862         3.17361    
     2.42209         3.18138    
     2.42661         3.19156    
     2.43008         3.19941    
     2.43100         3.20151    
     2.43192         3.20361    
     2.43539         3.21152    
     2.43991         3.22189    
     2.44338         3.22989    
     2.44430         3.23202    
     2.44522         3.23416    
     2.44869         3.24222    
     2.45321         3.25278    
     2.45668         3.26093    
     2.45760         3.26310    
     2.45852         3.26528    
     2.46199         3.27349    
     2.46651         3.28425    
     2.46998         3.29255    
     2.47090         3.29477    
     2.47182         3.29699    
     2.47529         3.30534    
     2.47981         3.31631    
     2.48328         3.32477    
     2.48420         3.32702    
     2.48512         3.32929    
     2.48859         3.33780    
     2.49311         3.34898    
     2.49658         3.35759    
     2.49750         3.35990    
     2.49842         3.36220    
     2.50189         3.37088    
     2.50641         3.38227    
     2.50988         3.39105    
     2.51080         3.39340    
     2.51172         3.39575    
     2.51519         3.40459    
     2.51971         3.41620    
     2.52318         3.42515    
     2.52410         3.42754    
     2.52502         3.42994    
     2.52849         3.43895    
     2.53301         3.45079    
     2.53648         3.45991    
     2.53740         3.46235    
     2.53832         3.46479    
     2.54179         3.47398    
     2.54631         3.48605    
     2.54978         3.49535    
     2.55070         3.49784    
     2.55162         3.50033    
     2.55509         3.50970    
     2.55961         3.52200    
     2.56308         3.53149    
     2.56400         3.53402    
     2.56492         3.53656    
     2.56839         3.54612    
     2.57291         3.55867    
     2.57638         3.56834    
     2.57730         3.57093    
     2.57822         3.57352    
     2.58169         3.58327    
     2.58621         3.59606    
     2.58968         3.60593    
     2.59060         3.60857    
     2.59152         3.61121    
     2.59499         3.62116    
     2.59951         3.63421    
     2.60298         3.64428    
     2.60390         3.64697    
     2.60482         3.64967    
     2.60829         3.65982    
     2.61281         3.67314    
     2.61628         3.68341    
     2.61720         3.68616    
     2.61812         3.68891    
     2.62159         3.69926    
     2.62611         3.71286    
     2.62958         3.72334    
     2.63050         3.72614    
     2.63142         3.72895    
     2.63489         3.73952    
     2.63941         3.75339    
     2.64288         3.76409    
     2.64380         3.76695    
     2.64472         3.76982    
     2.64819         3.78061    
     2.65271         3.79477    
     2.65618         3.80570    
     2.65710         3.80862    
     2.65802         3.81154    
     2.66149         3.82256    
     2.66601         3.83702    
     2.66948         3.84817    
     2.67040         3.85116    
     2.67132         3.85414    
     2.67479         3.86539    
     2.67931         3.88016    
     2.68278         3.89155    
     2.68370         3.89460    
     2.68462         3.89765    
     2.68809         3.90914    
     2.69261         3.92422    
     2.69608         3.93586    
     2.69700         3.93897    
     2.69792         3.94208    
     2.70139         3.95382    
     2.70591         3.96923    
     2.70938         3.98112    
     2.71030         3.98430    
     2.71122         3.98748    
     2.71469         3.99947    
     2.71921         4.01522    
     2.72268         4.02736    
     2.72360         4.03061    
     2.72452         4.03386    
     2.72799         4.04612    
     2.73251         4.06221    
     2.73598         4.07463    
     2.73690         4.07795    
     2.73782         4.08127    
     2.74129         4.09380    
     2.74581         4.11025    
     2.74928         4.12294    
     2.75020         4.12633    
     2.75112         4.12973    
     2.75459         4.14253    
     2.75911         4.15935    
     2.76258         4.17233    
     2.76350         4.17580    
     2.76442         4.17928    
     2.76789         4.19237    
     2.77241         4.20957    
     2.77588         4.22284    
     2.77680         4.22639    
     2.77772         4.22994    
     2.78119         4.24333    
     2.78571         4.26093    
     2.78918         4.27450    
     2.79010         4.27813    
     2.79102         4.28177    
     2.79449         4.29547    
     2.79901         4.31347    
     2.80248         4.32736    
     2.80340         4.33107    
     2.80432         4.33479    
     2.80779         4.34881    
     2.81231         4.36723    
     2.81578         4.38144    
     2.81670         4.38524    
     2.81762         4.38905    
     2.82109         4.40340    
     2.82561         4.42225    
     2.82908         4.43680    
     2.83000         4.44069    
     2.83000         4.44069    
     2.83030         4.44197    
     2.83140         4.44675    
     2.83285         4.45301    
     2.83395         4.45780    
     2.83425         4.45908    
     2.83455         4.46036    
     2.83565         4.46517    
     2.83710         4.47144    
     2.83820         4.47626    
     2.83850         4.47754    
     2.83880         4.47882    
     2.83990         4.48365    
     2.84135         4.48994    
     2.84245         4.49478    
     2.84275         4.49607    
     2.84305         4.49735    
     2.84415         4.50219    
     2.84560         4.50851    
     2.84670         4.51336    
     2.84700         4.51466    
     2.84730         4.51595    
     2.84840         4.52081    
     2.84985         4.52715    
     2.85095         4.53202    
     2.85125         4.53332    
     2.85155         4.53461    
     2.85265         4.53949    
     2.85410         4.54586    
     2.85520         4.55074    
     2.85550         4.55204    
     2.85580         4.55335    
     2.85690         4.55824    
     2.85835         4.56463    
     2.85945         4.56953    
     2.85975         4.57084    
     2.86005         4.57214    
     2.86115         4.57705    
     2.86260         4.58347    
     2.86370         4.58839    
     2.86400         4.58970    
     2.86430         4.59101    
     2.86540         4.59594    
     2.86685         4.60238    
     2.86795         4.60731    
     2.86825         4.60863    
     2.86855         4.60995    
     2.86965         4.61489    
     2.87110         4.62135    
     2.87220         4.62631    
     2.87250         4.62763    
     2.87280         4.62895    
     2.87390         4.63392    
     2.87535         4.64040    
     2.87645         4.64537    
     2.87675         4.64670    
     2.87705         4.64803    
     2.87815         4.65301    
     2.87960         4.65951    
     2.88070         4.66451    
     2.88100         4.66584    
     2.88130         4.66717    
     2.88240         4.67217    
     2.88385         4.67870    
     2.88495         4.68371    
     2.88525         4.68504    
     2.88555         4.68638    
     2.88665         4.69140    
     2.88810         4.69795    
     2.88920         4.70298    
     2.88950         4.70432    
     2.88980         4.70566    
     2.89090         4.71070    
     2.89235         4.71728    
     2.89345         4.72232    
     2.89375         4.72367    
     2.89405         4.72502    
     2.89515         4.73007    
     2.89660         4.73667    
     2.89770         4.74174    
     2.89800         4.74309    
     2.89830         4.74444    
     2.89940         4.74951    
     2.90085         4.75614    
     2.90195         4.76122    
     2.90225         4.76258    
     2.90255         4.76393    
     2.90365         4.76902    
     2.90510         4.77567    
     2.90620         4.78077    
     2.90650         4.78214    
     2.90680         4.78350    
     2.90790         4.78861    
     2.90935         4.79528    
     2.91045         4.80040    
     2.91075         4.80177    
     2.91105         4.80313    
     2.91215         4.80826    
     2.91360         4.81496    
     2.91470         4.82010    
     2.91500         4.82147    
     2.91530         4.82284    
     2.91640         4.82799    
     2.91785         4.83471    
     2.91895         4.83987    
     2.91925         4.84124    
     2.91955         4.84262    
     2.92065         4.84778    
     2.92210         4.85453    
     2.92320         4.85971    
     2.92350         4.86109    
     2.92380         4.86247    
     2.92490         4.86765    
     2.92635         4.87443    
     2.92745         4.87962    
     2.92775         4.88101    
     2.92805         4.88239    
     2.92915         4.88760    
     2.93060         4.89439    
     2.93170         4.89961    
     2.93200         4.90100    
     2.93230         4.90239    
     2.93340         4.90761    
     2.93485         4.91444    
     2.93595         4.91967    
     2.93625         4.92106    
     2.93655         4.92246    
     2.93765         4.92770    
     2.93910         4.93455    
     2.94020         4.93980    
     2.94050         4.94120    
     2.94080         4.94260    
     2.94190         4.94787    
     2.94335         4.95474    
     2.94445         4.96001    
     2.94475         4.96142    
     2.94505         4.96282    
     2.94615         4.96810    
     2.94760         4.97500    
