 Elongation kappa
  rad  pla 
 1408 1006
 rho(m) kappa 
     2.89660         1.55000    
     2.89770         1.55000    
     2.89800         1.55000    
     2.89830         1.55000    
     2.89940         1.55000    
     2.90085         1.55000    
     2.90195         1.55000    
     2.90225         1.55000    
     2.90255         1.55000    
     2.90365         1.55000    
     2.90510         1.55000    
     2.90620         1.55000    
     2.90650         1.55000    
     2.90680         1.55000    
     2.90790         1.55000    
     2.90935         1.55000    
     2.91045         1.55000    
     2.91075         1.55000    
     2.91105         1.55000    
     2.91215         1.55000    
     2.91360         1.55000    
     2.91470         1.55000    
     2.91500         1.55000    
     2.91530         1.55000    
     2.91640         1.55000    
     2.91785         1.55000    
     2.91895         1.55000    
     2.91925         1.55000    
     2.91955         1.55000    
     2.92065         1.55000    
     2.92210         1.55000    
     2.92320         1.55000    
     2.92350         1.55000    
     2.92380         1.55000    
     2.92490         1.55000    
     2.92635         1.55000    
     2.92745         1.55000    
     2.92775         1.55000    
     2.92805         1.55000    
     2.92915         1.55000    
     2.93060         1.55000    
     2.93170         1.55000    
     2.93200         1.55000    
     2.93230         1.55000    
     2.93340         1.55000    
     2.93485         1.55000    
     2.93595         1.55000    
     2.93625         1.55000    
     2.93655         1.55000    
     2.93765         1.55000    
     2.93910         1.55000    
     2.94020         1.55000    
     2.94050         1.55000    
     2.94080         1.55000    
     2.94190         1.55000    
     2.94335         1.55000    
     2.94445         1.55000    
     2.94475         1.55000    
     2.94505         1.55000    
     2.94615         1.55000    
