Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
                0.01    0.00     404/499178      groots_ [68]
                0.01    0.00     582/499178      cgefa3_ [28]
                2.08    0.00  166258/499178      dl2tcg_ <cycle 1> [23]
                4.16    0.00  331934/499178      fbstep_ [6]
[30]     0.4    6.26    0.00  499178         izamax_ [30]
-----------------------------------------------
                0.00    0.00       2/4770669     axisbc_ [81]
                0.00    0.00       9/4770669     outpow_ [3]
                0.00    0.00      25/4770669     outrf2_ [11]
                0.00    0.00      45/4770669     foucoj_ [77]
                0.00    0.00     200/4770669     filrhs_ [78]
                0.02    0.00   18592/4770669     foucog_ [33]
                0.02    0.00   18643/4770669     df2trf_ [67]
                0.33    0.00  310730/4770669     polfft_ [9]
                4.74    0.00 4422423/4770669     df3tcb_ [14]
[31]     0.3    5.11    0.00 4770669         dcopy_ [31]
-----------------------------------------------
                4.55    0.00    1408/1408        outrf2_ [11]
[32]     0.3    4.55    0.00    1408         magmod_ [32]
-----------------------------------------------
                0.64    0.94    1125/2533        ascurl_ [7]
                0.80    1.17    1408/2533        outrf2_ [11]
[33]     0.2    1.44    2.11    2533         foucog_ [33]
                0.24    1.54   75866/4422423     df2tcb_ [13]
                0.01    0.28   18592/18643       df3trf_ [52]
                0.02    0.00   18592/4770669     dcopy_ [31]
                0.00    0.02   18592/18643       df2trf_ [67]
                0.00    0.00    2166/6494071     dset_ [26]
                0.00    0.00    7966/111963996     zset_ [21]
                0.00    0.00    5066/5077        iset_ [90]
-----------------------------------------------
                0.05    1.49       1/1           MAIN__ [1]
[34]     0.1    0.05    1.49       1         outdis_ern_ [34]
                0.05    1.44  516078/516078      charsu_ [35]
                0.00    0.00       2/2           int_to_string_ [135]
                0.00    0.00       1/2120        second_ [92]
-----------------------------------------------
                0.05    1.44  516078/516078      outdis_ern_ [34]
[35]     0.1    0.05    1.44  516078         charsu_ [35]
                0.27    1.17  516078/518099      hotten_ [36]
-----------------------------------------------
                0.00    0.00    2021/518099      disper_ [75]
                0.27    1.17  516078/518099      charsu_ [35]
[36]     0.1    0.27    1.18  518099         hotten_ [36]
                0.51    0.40 7771485/7773735     zif4_ [40]
                0.27    0.00 1036198/111963996     zset_ [21]
                0.00    0.00  518099/88438225     inscr_ [59]
-----------------------------------------------
                0.00    0.00    7771/15137443     dl2ccg_ <cycle 1> [18]
                1.42    0.00 15129672/15137443     plasmb_ [27]
[37]     0.1    1.42    0.00 15137443         zdscal_ [37]
-----------------------------------------------
                0.00    0.00       1/332663      ascurl_ [7]
                0.00    0.00     433/332663      cgefa3_ [28]
                0.60    0.00  165971/332663      dl2tcg_ <cycle 1> [23]
                0.60    0.00  166258/332663      cgesl2_ [19]
[38]     0.1    1.21    0.00  332663         zscal_ [38]
-----------------------------------------------
                0.27    0.00   56893/222864      cgesl2_ [19]
                0.77    0.00  165971/222864      dl2tcg_ <cycle 1> [23]
[39]     0.1    1.04    0.00  222864         zswap_ [39]
-----------------------------------------------
                0.00    0.00    2250/7773735     riftab_ [17]
                0.51    0.40 7771485/7773735     hotten_ [36]
[40]     0.1    0.51    0.40 7773735         zif4_ [40]
                0.30    0.00 7773735/7775783     zdotu_ [51]
                0.10    0.00 7773735/7773737     isrchfgt_ [57]
-----------------------------------------------
                0.84    0.00  167406/167406      dl2ccg_ <cycle 1> [18]
[41]     0.0    0.84    0.00  167406         dzasum_ [41]
-----------------------------------------------
                0.43    0.13       1/1           MAIN__ [1]
[42]     0.0    0.43    0.13       1         tables_ [42]
                0.07    0.00  722304/722304      dshap2_ [60]
                0.05    0.00  722304/722304      dshap1_ [61]
                0.01    0.00    1407/1408        idamin_ [70]
                0.00    0.00    1408/1408        g_ [97]
                0.00    0.00    1408/1408        ypro_ [98]
                0.00    0.00    1407/1407        idamax_ [99]
                0.00    0.00     562/30149       gauss_ [86]
                0.00    0.00      10/112         i1st_ [108]
                0.00    0.00       3/339         nsum_ [104]
-----------------------------------------------
                0.50    0.00     576/576         aswr_ [44]
[43]     0.0    0.50    0.00     576         aqwrite_ [43]
-----------------------------------------------
